관내 폐형광등(폐건전지) 수거함 현황(2020년 6월),,,,,,,,,,,,,,,,,,,
연번,관리번호,위치,단지 내 여부,번지,재질,비고,,,,,,,,,,,,,
240,시흥4동-21,클린하우스 06 노외주차장 입구,공유지,812-4,클린하우스(철),,,,,,,,,,,,,,
241,시흥4동-22,클린하우스 07 시흥4동 주민센터 내,공유지,812-38,클린하우스(철),,,,,,,,,,,,,,
242,시흥4동-23,클린하우스 08 한울중학교 옆,공유지,792-1,클린하우스(철),,,,,,,,,,,,,,
243,시흥4동-24,클린하우스 09 송록 어린이공원,공원,791-35,클린하우스(철),,,,,,,,,,,,,,
244,시흥4동-25,클린하우스 10 삼광빌라,공유지,4-7,클린하우스(철),,,,,,,,,,,,,,
245,시흥4동-26,클린하우스 11 댓골마당 ,공유지,4-83,클린하우스(철),,,,,,,,,,,,,,
246,시흥4동-27,클린하우스 12 범일운수 회차지점,공유지,795,클린하우스(철),,,,,,,,,,,,,,
247,시흥4동-28,클린하우스 13 효봉 어린이공원 앞,공유지,4-29,클린하우스(철),,,,,,,,,,,,,,
248,시흥4동-29,클린하우스 14 산장 어린이공원,공원,3-17,클린하우스(철),,,,,,,,,,,,,,
249,시흥4동-30,클린하우스 15 유승쉐르빌,공유지,3-218,클린하우스(철),,,,,,,,,,,,,,
250,시흥4동-32,클린하우스 17 효봉공원 주차장,공유지,3-129,클린하우스(철),,,,,,,,,,,,,,
251,시흥4동-34,클린하우스 19 시흥아파트 입구,공유지,817-29,클린하우스(철),,,,,,,,,,,,,,
252,시흥4동-35,클린하우스 20 삼성공영 주차장,공유지,171-1,클린하우스(철),,,,,,,,,,,,,,
253,시흥4동-36,유호빌라 바동,단지 내,1-70,스텐,,,,,,,,,,,,,,
254,시흥5동-1,건영2차 아파트,단지 내,384-12,스텐,,,,,,,,,,,,,,
255,시흥5동-2,현대 아파트,단지 내,220-2,스텐,,,,,,,,,,,,,,
256,시흥5동-3,현대 공무원 아파트,단지 내,209,스텐,,,,,,,,,,,,,,
257,시흥5동-4,시흥5동 주민센터 앞,주민센터,832-14,스텐,,,,,,,,,,,,,,
258,시흥5동-5,영일빌라 5차,단지 내,438-194,스텐,,,,,,,,,,,,,,
259,시흥5동-6,별장길 어린이공원,공원,925-32,스텐,,,,,,,,,,,,,,
260,시흥5동-7,세진빌라,공유지,919-84,스텐,,,,,,,,,,,,,,
261,시흥5동-8,섭리의 집 도로 맞은편,공유지,420-4,스텐,,,,,,,,,,,,,,
262,시흥5동-9,축구장 아래 도로변,공유지,시흥동 산80-5,스텐,,,,,,,,,,,,,,
263,시흥5동-10,클린하우스 21 해찬동네숲,공유지,933-9,클린하우스(철),,,,,,,,,,,,,,
264,시흥5동-12,클린하우스 23 섭리의 집,공유지,420-4,클린하우스(철),,,,,,,,,,,,,,
265,시흥5동-13,클린하우스 24 공영주차장(에벤에셀 근처),공유지,917-17,클린하우스(철),,,,,,,,,,,,,,
266,시흥5동-14,백운한비치 2차 아파트,단지 내,1018,스텐,,,,,,,,,,,,,,
